cpro,año,pob_18_34
30,2013,342236
30,2012,356696
30,2011,369518
32,2022,42593
32,2021,42986
32,2020,43818
32,2019,44721
32,2018,46016
32,2017,47625
32,2016,49732
32,2015,52036
32,2014,54899
32,2013,57713
32,2012,60373
32,2011,62970
34,2022,23888
34,2021,24425
34,2020,24993
34,2019,25620
34,2018,26281
34,2017,27131
34,2016,28206
34,2015,29288
34,2014,30578
34,2013,31934
34,2012,33436
34,2011,34550
35,2022,228972
35,2021,230364
35,2020,233706
35,2019,232045
35,2018,230719
35,2017,231389
35,2016,235085
35,2015,241107
35,2014,248676
35,2013,256625
35,2012,262815
35,2011,271533
36,2022,150646
36,2021,151698
36,2020,153269
36,2019,154622
36,2018,157509
36,2017,162025
36,2016,168490
36,2015,176270
36,2014,185397
36,2013,195156
36,2012,205078
36,2011,215466
26,2022,53812
26,2021,53805
26,2020,54082
26,2019,53731
26,2018,53924
26,2017,54803
26,2016,56338
26,2015,58428
26,2014,61466
26,2013,65460
26,2012,68775
26,2011,71595
37,2022,51496
37,2021,52054
37,2020,52350
37,2019,52970
37,2018,53688
37,2017,55138
37,2016,56950
37,2015,59371
37,2014,62300
37,2013,64926
37,2012,68855
37,2011,71534
38,2022,205439
38,2021,206140
38,2020,208723
38,2019,207217
38,2018,205438
38,2017,205286
38,2016,208728
38,2015,213495
38,2014,219945
38,2013,226318
38,2012,234458
38,2011,248742
40,2022,26183
40,2021,26231
40,2020,26282
40,2019,26282
40,2018,26585
40,2017,27120
40,2016,28082
40,2015,29174
40,2014,30516
40,2013,32080
40,2012,33700
40,2011,34739
41,2022,367273
41,2021,366990
41,2020,369523
41,2019,371502
41,2018,376138
41,2017,384809
41,2016,396303
41,2015,409846
41,2014,424691
41,2013,441906
41,2012,457051
41,2011,469246
42,2022,14533
42,2021,14641
42,2020,14656
42,2019,14592
42,2018,14612
42,2017,14739
42,2016,15311
42,2015,15906
42,2014,16615
42,2013,17229
42,2012,18098
42,2011,18712
43,2022,149198
43,2021,147184
43,2020,146910
43,2019,144364
43,2018,142895
43,2017,144321
43,2016,148424
43,2015,154511
43,2014,162792
43,2013,173070
43,2012,182468
43,2011,189861
44,2022,23220
44,2021,23348
44,2020,23301
44,2019,23248
44,2018,23408
44,2017,24020
44,2016,24903
44,2015,26040
44,2014,27059
44,2013,28173
44,2012,29270
44,2011,30044
45,2022,129964
45,2021,129916
45,2020,129400
45,2019,129128
45,2018,129315
45,2017,132451
45,2016,137641
45,2015,144545
45,2014,152396
45,2013,161335
45,2012,169636
45,2011,174665
46,2022,471600
46,2021,465241
46,2020,467198
46,2019,462159
46,2018,460093
46,2017,466032
46,2016,480266
46,2015,496327
46,2014,517446
46,2013,546345
46,2012,577544
46,2011,600705
47,2022,79423
47,2021,79630
47,2020,79902
47,2019,80530
47,2018,81628
47,2017,83909
47,2016,87275
47,2015,91419
47,2014,96402
47,2013,102262
47,2012,107802
47,2011,113437
49,2022,23830
49,2021,24249
49,2020,24632
49,2019,25427
49,2018,26265
49,2017,27564
49,2016,28893
49,2015,30374
49,2014,31742
49,2013,33393
49,2012,35398
49,2011,36781
50,2022,166987
50,2021,167563
50,2020,169452
50,2019,167543
50,2018,165573
50,2017,167164
50,2016,169928
50,2015,177418
50,2014,185012
50,2013,199251
50,2012,206809
50,2011,213161
51,2022,18732
51,2021,18660
51,2020,18842
51,2019,19152
51,2018,19421
51,2017,19525
51,2016,19717
51,2015,20248
51,2014,20992
51,2013,21326
51,2012,21762
51,2011,21568
52,2022,20091
52,2021,20077
52,2020,20299
52,2019,20280
52,2018,20287
52,2017,20526
52,2016,20898
52,2015,21206
52,2014,21270
52,2013,21611
52,2012,21053
52,2011,20598
