cpro,provincia,ccaa,año,alquiler_mediano,factor_2020,salario_neto_mes,banda_edad,tasa_esfuerzo,alquiler_real,sobre_30
3,Alicante/Alacant,Comunitat Valenciana,2014,350.0,1.0332160647146191,1142.0224799999999,36-45,30.65,361.63,1
3,Alicante/Alacant,Comunitat Valenciana,2015,350.0,1.0384115222946557,411.51370833333334,18-25,85.05,363.44,1
3,Alicante/Alacant,Comunitat Valenciana,2015,350.0,1.0384115222946557,904.1507316666666,26-35,38.71,363.44,1
3,Alicante/Alacant,Comunitat Valenciana,2015,350.0,1.0384115222946557,1164.2050433333334,36-45,30.06,363.44,1
3,Alicante/Alacant,Comunitat Valenciana,2016,354.1666666666667,1.0405208860397714,421.03479166666665,18-25,84.12,368.52,1
3,Alicante/Alacant,Comunitat Valenciana,2016,354.1666666666667,1.0405208860397714,913.4431529166667,26-35,38.77,368.52,1
3,Alicante/Alacant,Comunitat Valenciana,2016,354.1666666666667,1.0405208860397714,1186.2689833333334,36-45,29.86,368.52,0
3,Alicante/Alacant,Comunitat Valenciana,2017,369.7355289421157,1.0205611862446453,440.857375,18-25,83.87,377.34,1
3,Alicante/Alacant,Comunitat Valenciana,2017,369.7355289421157,1.0205611862446453,931.7119266666667,26-35,39.68,377.34,1
3,Alicante/Alacant,Comunitat Valenciana,2017,369.7355289421157,1.0205611862446453,1208.2142999999999,36-45,30.6,377.34,1
3,Alicante/Alacant,Comunitat Valenciana,2018,383.36416975030835,1.0037444693258832,466.2989583333333,18-25,82.21,384.8,1
3,Alicante/Alacant,Comunitat Valenciana,2018,383.36416975030835,1.0037444693258832,967.6173366666667,26-35,39.62,384.8,1
3,Alicante/Alacant,Comunitat Valenciana,2018,383.36416975030835,1.0037444693258832,1244.4537283333332,36-45,30.81,384.8,1
3,Alicante/Alacant,Comunitat Valenciana,2019,400.0,0.9967743538313801,499.93491666666665,18-25,80.01,398.71,1
3,Alicante/Alacant,Comunitat Valenciana,2019,400.0,0.9967743538313801,1013.3208779166667,26-35,39.47,398.71,1
3,Alicante/Alacant,Comunitat Valenciana,2019,400.0,0.9967743538313801,1289.3526600000002,36-45,31.02,398.71,1
3,Alicante/Alacant,Comunitat Valenciana,2020,412.4983333333333,1.0,486.12154166666664,18-25,84.85,412.5,1
3,Alicante/Alacant,Comunitat Valenciana,2020,412.4983333333333,1.0,979.8808041666666,26-35,42.1,412.5,1
3,Alicante/Alacant,Comunitat Valenciana,2020,412.4983333333333,1.0,1251.9269983333334,36-45,32.95,412.5,1
3,Alicante/Alacant,Comunitat Valenciana,2021,430.0,0.9699974935414286,521.864625,18-25,82.4,417.1,1
3,Alicante/Alacant,Comunitat Valenciana,2021,430.0,0.9699974935414286,1061.6793966666667,26-35,40.5,417.1,1
3,Alicante/Alacant,Comunitat Valenciana,2021,430.0,0.9699974935414286,1309.2220683333333,36-45,32.84,417.1,1
3,Alicante/Alacant,Comunitat Valenciana,2022,450.0,0.8949107299739896,582.3469166666667,18-25,77.27,402.71,1
3,Alicante/Alacant,Comunitat Valenciana,2022,450.0,0.8949107299739896,1150.6819833333332,26-35,39.11,402.71,1
3,Alicante/Alacant,Comunitat Valenciana,2022,450.0,0.8949107299739896,1408.1539283333334,36-45,31.96,402.71,1
3,Alicante/Alacant,Comunitat Valenciana,2023,479.1666666666667,0.8643768521205406,630.6248354166667,18-25,75.98,414.18,1
3,Alicante/Alacant,Comunitat Valenciana,2023,479.1666666666667,0.8643768521205406,1219.6614516666666,26-35,39.29,414.18,1
